County,FIPS,Age,Total,Total_Male,Total_Female,NH_White_Total,NH_White_Male,NH_White_Female,NH_Black_Total,NH_Black_Male,NH_Black_Female,NH_Asian_Total,NH_Asian_Male,NH_Asian_Female,NH_Other_Total,NH_Other_Male,NH_Other_Female,Hispanic_Total,Hispanic_Male,Hispanic_Female
NEWTON COUNTY,351,All Ages,13317,6932,6385,9740,4958,4782,2736,1514,1222,68,31,37,320,160,160,453,269,184
NOLAN COUNTY,353,All Ages,14256,7157,7099,7803,3931,3872,680,351,329,57,29,28,210,105,105,5506,2741,2765
NUECES COUNTY,355,All Ages,363049,180826,182223,102891,52063,50828,13152,6896,6256,7632,3414,4218,5247,2628,2619,234127,115825,118302
OCHILTREE COUNTY,357,All Ages,10219,5180,5039,4311,2143,2168,22,9,13,24,12,12,128,59,69,5734,2957,2777
OLDHAM COUNTY,359,All Ages,2126,1082,1044,1755,897,858,55,31,24,16,3,13,33,12,21,267,139,128
ORANGE COUNTY,361,All Ages,82461,40914,41547,66762,33024,33738,7319,3507,3812,871,423,448,1794,911,883,5715,3049,2666
PALO PINTO COUNTY,363,All Ages,29008,14155,14853,21384,10358,11026,709,368,341,152,57,95,535,289,246,6228,3083,3145
PANOLA COUNTY,365,All Ages,24586,12242,12344,17655,8736,8919,3995,1961,2034,80,33,47,482,235,247,2374,1277,1097
PARKER COUNTY,367,All Ages,141080,69793,71287,117432,57545,59887,2103,1508,595,705,296,409,3165,1595,1570,17675,8849,8826
PARMER COUNTY,369,All Ages,9501,4856,4645,3173,1566,1607,145,67,78,21,10,11,65,40,25,6097,3173,2924
PECOS COUNTY,371,All Ages,15052,8615,6437,3802,2263,1539,504,463,41,87,42,45,157,75,82,10502,5772,4730
POLK COUNTY,373,All Ages,50293,27037,23256,35502,18283,17219,5407,3426,1981,231,84,147,1576,760,816,7577,4484,3093
POTTER COUNTY,375,All Ages,116063,60030,56033,50919,25431,25488,10892,6343,4549,6294,3323,2971,3008,1444,1564,44950,23489,21461
PRESIDIO COUNTY,377,All Ages,6535,3303,3232,1044,520,524,36,25,11,82,40,42,70,36,34,5303,2682,2621
RAINS COUNTY,379,All Ages,12416,6280,6136,10706,5378,5328,275,154,121,67,27,40,278,138,140,1090,583,507
RANDALL COUNTY,381,All Ages,139034,69094,69940,96404,46861,49543,4231,2400,1831,1951,916,1035,3316,1740,1576,33132,17177,15955
REAGAN COUNTY,383,All Ages,3836,2062,1774,1091,545,546,67,42,25,0,0,0,24,14,10,2654,1461,1193
REAL COUNTY,385,All Ages,3499,1748,1751,2418,1191,1227,19,8,11,3,1,2,76,38,38,983,510,473
RED RIVER COUNTY,387,All Ages,11649,5685,5964,8275,4017,4258,2060,979,1081,28,19,9,411,212,199,875,458,417
REEVES COUNTY,389,All Ages,16154,9623,6531,2821,1871,950,737,635,102,130,86,44,91,48,43,12375,6983,5392
REFUGIO COUNTY,391,All Ages,6871,3354,3517,2747,1306,1441,412,218,194,24,12,12,96,48,48,3592,1770,1822
ROBERTS COUNTY,393,All Ages,851,430,421,765,382,383,0,0,0,0,0,0,13,9,4,73,39,34
